Date,Open,High,Low,Close
2021-01-04,72.99,73.047,72.935,73.0204
2021-01-05,73.107,73.279,73.069,73.2424
2021-01-06,73.107,73.175,73.0442,73.076
2021-01-07,73.092,73.395,73.092,73.3882
2021-01-08,73.307,73.4673,73.198,73.2496
2021-01-11,73.506,73.509,73.3585,73.398
2021-01-12,73.441,73.448,73.2,73.237
2021-01-13,73.102,73.2125,73.092,73.1792
2021-01-14,73.119,73.14,72.922,73.0118
2021-01-15,73.045,73.1736,73.0025,73.0522
2021-01-18,73.26,73.32,73.19,73.2811
2021-01-19,73.167,73.298,73.1087,73.124
2021-01-20,73.132,73.14,72.9664,72.982
2021-01-21,72.972,73.005,72.93,72.9556
2021-01-22,73.011,73.098,72.9216,72.943
2021-01-25,72.94,72.975,72.8809,72.9228
2021-01-27,72.895,72.93,72.7878,72.8986
2021-01-28,73.07,73.171,73.0229,73.032
2021-01-29,72.965,73,72.8933,72.9036
2021-02-01,72.87,73.127,72.813,73.0968
2021-02-02,73.0175,73.03,72.9063,72.9735
2021-02-03,72.928,73.002,72.883,72.9493
2021-02-04,72.9075,72.99,72.8726,72.985
2021-02-05,72.91,72.942,72.765,72.8864
2021-02-08,72.837,72.997,72.817,72.948
2021-02-09,72.86,72.928,72.84,72.887
2021-02-10,72.855,72.888,72.793,72.807
2021-02-11,72.86,72.889,72.735,72.841
2021-02-12,72.772,72.825,72.558,72.57
2021-02-15,72.589,72.688,72.564,72.622
2021-02-16,72.69,72.792,72.672,72.708
2021-02-17,72.845,72.912,72.72,72.737
2021-02-18,72.7275,72.802,72.577,72.592
2021-02-19,72.544,72.566,72.412,72.457
2021-02-22,72.376,72.517,72.28,72.462
2021-02-23,72.41,72.513,72.324,72.513
2021-02-24,72.3425,72.435,72.258,72.312
2021-02-25,72.371,72.533,72.371,72.423
2021-02-26,73.01,73.773,73.01,73.738
2021-03-01,73.34,73.601,73.1825,73.505
2021-03-02,73.422,73.48,73.317,73.347
2021-03-03,73.162,73.162,72.7,72.836
2021-03-04,72.789,72.91,72.612,72.746
2021-03-05,72.88,73.08,72.735,73.072
2021-03-08,72.945,73.301,72.9275,73.182
2021-03-09,73.142,73.198,72.89,72.947
2021-03-10,72.95,73.06,72.885,73.004
2021-03-12,72.684,72.844,72.63,72.702
2021-03-15,72.759,72.778,72.375,72.478
2021-03-16,72.443,72.63,72.4375,72.504
2021-03-17,72.595,72.605,72.5,72.514
2021-03-18,72.48,72.61,72.447,72.507
2021-03-19,72.581,72.581,72.439,72.467
2021-03-22,72.436,72.436,72.333,72.335
2021-03-23,72.3475,72.512,72.27,72.457
2021-03-24,72.6025,72.719,72.517,72.6
2021-03-25,72.6025,72.691,72.55,72.58
2021-03-26,72.4225,72.525,72.367,72.48
2021-03-30,72.8475,73.424,72.74,73.38
2021-03-31,73.56,73.593,73.07,73.105
2021-04-01,73.256,73.442,73.244,73.411
2021-04-05,73.425,73.445,73.267,73.3025
2021-04-06,73.24,73.4225,73.205,73.4225
2021-04-07,73.54,74.555,73.5125,74.555
2021-04-08,74.39,74.812,74.182,74.598
2021-04-09,74.785,74.957,74.53,74.761
2021-04-12,74.967,75.159,74.75,75.047
2021-04-13,75.086,75.449,75.061,75.362
2021-04-15,75.18,75.343,74.9275,74.933
2021-04-16,74.78,74.78,74.2825,74.3425
2021-04-19,74.8,75.03,74.78,74.875
2021-04-20,74.64,74.991,74.64,74.884
2021-04-22,75.312,75.312,74.8625,74.963
2021-04-23,75.019,75.082,74.75,75.0125
2021-04-26,74.803,74.878,74.67,74.75
2021-04-27,74.66,74.72,74.513,74.655
2021-04-28,74.512,74.512,74.297,74.365
2021-04-29,74.183,74.22,73.962,74.032
2021-04-30,74.017,74.125,73.945,74.075
2021-05-03,74.24,74.315,73.9075,73.93
2021-05-04,73.9,73.972,73.765,73.875
2021-05-05,73.825,74.04,73.786,73.877
2021-05-06,73.85,74.0025,73.734,73.734
2021-05-07,73.615,73.755,73.48,73.484
2021-05-10,73.35,73.475,73.32,73.325
2021-05-11,73.46,73.53,73.275,73.33
2021-05-12,73.5,73.51,73.37,73.417
2021-05-14,73.42,73.42,73.208,73.274
2021-05-17,73.27,73.27,73.152,73.226
2021-05-18,73.195,73.195,72.951,73.04
2021-05-19,73.025,73.175,72.93,73.147
2021-05-20,73.155,73.17,73.07,73.1
2021-05-21,72.966,73.085,72.821,72.8325
2021-05-24,72.87,72.975,72.853,72.96
2021-05-25,72.85,72.87,72.74,72.768
2021-05-26,72.706,72.754,72.676,72.693
2021-05-27,72.753,72.762,72.511,72.573
2021-05-28,72.486,72.495,72.325,72.43
2021-05-31,72.365,72.65,72.345,72.6175
2021-06-01,72.555,72.935,72.53,72.915
2021-06-02,73.11,73.31,73.022,73.0825
2021-06-03,73.155,73.155,72.8925,72.903
2021-06-04,73,73.11,72.96,72.995
2021-06-07,72.838,72.87,72.7375,72.806
2021-06-08,72.795,72.909,72.76,72.8825
2021-06-09,72.884,73.015,72.879,72.965
2021-06-10,72.96,73.118,72.94,73.06
2021-06-11,72.9625,73.086,72.913,73.0725
2021-06-14,73.205,73.285,73.1,73.279
2021-06-15,73.171,73.34,73.154,73.31
2021-06-16,73.297,73.387,73.26,73.32
2021-06-17,73.645,74.069,73.569,74.069
2021-06-18,74.09,74.27,73.82,73.855
