Date,Open,High,Low,Close
2016-03-31,66.375,68.78,66.17,66.2525
2016-06-30,66.3375,68.1475,66.07,67.53
2016-09-30,67.46,67.5025,66.325,66.6125
2016-12-31,66.4925,68.8525,66.3599,67.87
2017-03-31,67.9625,68.3799,64.8,64.8475
2017-06-30,64.77,65.1675,63.9525,64.66
2017-09-30,64.695,65.88,63.575,65.29
2017-12-31,65.53,65.63,63.78,63.8225
2018-03-31,63.7175,65.305,63.285,65.135
2018-06-30,65.085,69.0575,64.86,68.44
2018-09-30,68.9475,72.8975,68.27,72.565
2018-12-31,72.75,74.4425,69.59,69.8125
2019-03-31,69.67,71.774,68.45,69.27
2019-06-30,69.18,70.511,68.38,69.01
2019-09-30,68.894,72.36,68.32,70.7075
2019-12-31,70.765,72.112,70.522,71.324
2020-03-31,71.343,76.235,70.752,75.45
2020-06-30,75.84,76.916,74.935,75.5634
2020-09-30,75.51,75.6,72.755,73.7152
2020-12-31,73.6,74.897,73.0079,73.023
2021-03-31,72.99,73.773,72.258,73.105
2021-06-30,73.256,75.449,72.325,74.324
2021-09-30,74.37,74.946,72.916,74.2225
2021-12-31,74.333,76.357,73.851,74.293
2022-03-31,74.4225,77.1614,73.825,75.775
2022-06-30,75.8715,79.0355,75.3138,78.9955
2022-09-30,79.0775,81.9655,78.5105,81.3455
2022-12-31,81.7462,83.2675,80.5785,82.7005
2023-03-31,82.6275,83.085,81.0745,81.9685
