Date,Open,High,Low,Close
1973-03-31,8.02,8.02,7.19,7.55
1973-06-30,7.58,7.58,7.22,7.3
1973-09-30,7.3,7.78,7.25,7.75
1973-12-31,7.72,8.2,7.68,8.16
1974-03-31,8.16,8.62,7.81,7.81
1974-06-30,7.81,8,7.72,7.87
1974-09-30,7.81,8.13,7.81,8.06
1974-12-31,8.06,8.13,8,8.13
1975-03-31,8.13,8.13,7.75,7.75
1975-06-30,7.75,8.4,7.75,8.4
1975-09-30,8.4,8.94,8.4,8.94
1975-12-31,8.94,9.09,8.73,8.97
1976-03-31,8.97,9.09,8.91,8.97
1976-06-30,8.97,9.35,8.93,9.01
1976-09-30,9.01,9.17,8.85,8.85
1976-12-31,8.85,9.05,8.73,8.93
1977-03-31,8.93,9.01,8.81,8.82
1977-06-30,8.82,8.88,8.81,8.88
1977-09-30,8.81,8.85,8.71,8.73
1977-12-31,8.73,8.73,8.23,8.23
1978-03-31,8.47,8.47,8.06,8.33
1978-06-30,8.33,8.7,8.33,8.33
1978-09-30,8.26,8.26,7.9,7.97
1978-12-31,7.97,8.33,7.66,8.23
1979-03-31,8.08,8.33,8.08,8.16
1979-06-30,8.14,8.39,8,8.06
1979-09-30,8.01,8.24,7.75,8.07
1979-12-31,8.09,8.4,8,8
1980-03-31,8,8.22,7.85,8.22
1980-06-30,8.3,8.3,7.71,7.8
1980-09-30,7.8,7.83,7.72,7.75
1980-12-31,7.75,7.99,7.68,7.94
1981-03-31,7.89,8.33,7.81,8.27
1981-06-30,8.27,8.62,8.23,8.62
1981-09-30,8.65,9.26,8.65,9.12
1981-12-31,9.1,9.24,8.93,9.13
1982-03-31,9.07,9.36,9.07,9.35
1982-06-30,9.35,9.6,9.21,9.53
1982-09-30,9.57,9.71,9.47,9.71
1982-12-31,9.72,9.86,9.62,9.62
1983-03-31,9.62,10,9.62,10
1983-06-30,10,10.1,9.9,10
1983-09-30,10,10.2,10,10.2
1983-12-31,10.2,10.6,10.1,10.4
1984-03-31,10.5,10.7,10.5,10.7
1984-06-30,10.7,11.2,10.7,11.2
1984-09-30,11.2,12,11.2,11.9
1984-12-31,11.9,12.4,11.8,12.3
1985-03-31,12.3,13.2,12.2,12.2
1985-06-30,12.3,12.6,12.1,12.4
1985-09-30,12.3,12.4,11.4,11.9
1985-12-31,11.9,12.2,11.8,12.1
1986-03-31,12,12.8,12,12.3
1986-06-30,12.4,12.8,12.2,12.4
1986-09-30,12.4,12.7,12.3,12.7
1986-12-31,12.8,13.1,12.7,13.1
1987-03-31,13,13.1,12.7,12.9
1987-06-30,12.9,13,12.5,12.8
1987-09-30,12.8,13.1,12.8,13.1
1987-12-31,13.1,13.1,12.7,12.7
1988-03-31,12.8,13.1,12.8,12.9
1988-06-30,13,14.1,12.9,14
1988-09-30,14.1,14.6,14,14.5
1988-12-31,14.5,15,14.5,14.9
1989-03-31,15,15.6,15,15.6
1989-06-30,15.6,16.5,15.5,16.4
1989-09-30,16.3,16.8,16.2,16.6
1989-12-31,16.6,17,16.6,16.9
1990-03-31,16.9,17.2,16.9,17.2
1990-06-30,17.2,17.4,17.2,17.4
1990-09-30,17.4,18.1,17.2,18
1990-12-31,18,18.2,17.9,18.1
1991-03-31,18.1,19.6,18.1,19.6
1991-06-30,19.6,21.1,19.6,21.1
1991-09-30,23,26.2,23,25.7
1991-12-31,25.7,25.9,25.7,25.7
1992-03-31,25.7,29.2,25.7,29.1
1992-06-30,29,29,28.2,28.7
1992-09-30,28.6,28.6,28.4,28.4
1992-12-31,28.4,29.1,28.4,29
1993-03-31,28.995,33.492,28.984,31.498
1993-06-30,31.495,31.795,31.495,31.6
1993-09-30,31.602,31.688,31.47,31.525
1993-12-31,31.529,31.551,31.396,31.404
1994-03-31,31.439,31.74,31.361,31.367
1994-06-30,31.422,31.654,31.354,31.366
1994-09-30,31.371,31.465,31.344,31.363
1994-12-31,31.367,31.469,31.357,31.368
1995-03-31,31.373,31.889,31.352,31.423
1995-06-30,31.464,31.49,31.199,31.401
1995-09-30,31.411,34.048,31.353,33.923
1995-12-31,33.913,35.662,33.81,35.172
1996-03-31,35.192,37.898,33.998,33.998
1996-06-30,34.098,35.346,33.803,35.028
1996-09-30,35.101,35.644,34.751,35.444
1996-12-31,35.453,35.864,35.394,35.747
1997-03-31,35.854,35.878,35.775,35.798
1997-06-30,35.833,35.852,35.679,35.757
1997-09-30,35.741,36.559,35.641,36.139
1997-12-31,36.097,39.572,36.097,39.1
1998-03-31,39.23,40.098,38.144,39.48
